# M Z m_tot m_metal H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn Ga Ge As Se Br Kr Rb Sr Y Zr Nb Mo Tc Ru Rh Pd Ag Cd In Sn Sb Te I Xe Cs Ba La Ce Pr Nd Pm Sm Eu Gd Tb Dy Ho Er Tm Yb Lu Hf Ta W Re Os Ir Pt Au Hg Tl Pb Bi
80.000 0.000 7.99939831E+01 7.85339831E+01 0.00000000E+00 1.46000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.33000089E+00 4.81900000E-05 4.68000016E+01 1.23000000E-08 4.22026870E+00 3.02000000E-03 3.67396000E+00 1.59000000E-02 1.36235300E+01 1.89000000E-03 4.70658001E+00 1.42300000E-03 6.00390000E-01 1.11402190E-03 3.70165327E-01 3.03000000E-06 6.51824000E-04 6.54000000E-05 8.78001130E-03 2.91000000E-03 1.70810009E-01 4.34000000E-06 2.46673111E-03 4.79750000E-12 2.32252890E-11 6.39000000E-16 2.04600000E-15 0.00000000E+00 3.83000000E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
85.000 0.000 8.49603959E+01 8.35203959E+01 0.00000000E+00 1.44000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.28000085E+00 4.43700000E-05 4.66000015E+01 1.23000000E-08 4.20032090E+00 2.96000000E-03 3.97515000E+00 1.67000000E-02 1.65226300E+01 1.64000000E-03 6.08566001E+00 1.30800000E-03 8.10230000E-01 9.50016900E-04 5.29179419E-01 3.20000000E-06 1.55680000E-03 1.11000000E-04 2.41190074E-02 5.43000000E-03 4.59030008E-01 4.60000000E-06 3.36624118E-03 5.05890000E-12 2.58238730E-11 3.44000000E-16 1.13000000E-15 0.00000000E+00 2.24000000E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
90.000 0.000 8.99958872E+01 8.85858872E+01 0.00000000E+00 1.41000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.21000058E+00 4.10500000E-05 4.59000014E+01 1.42000000E-08 4.10027370E+00 2.88000000E-03 4.24607000E+00 1.72000000E-02 1.92219300E+01 1.45000000E-03 7.58497000E+00 1.18700000E-03 1.07141000E+00 7.87012800E-04 7.61235714E-01 3.36000000E-06 3.59043500E-03 1.92000000E-04 6.56740052E-02 1.11000000E-02 1.38077001E+00 5.05000000E-06 5.11594135E-03 5.56800000E-12 2.74197720E-11 6.13000000E-16 2.08700000E-15 0.00000000E+00 4.61000000E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
95.000 0.000 9.49780394E+01 9.35580394E+01 0.00000000E+00 1.42000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.13000036E+00 3.87100000E-05 4.52000013E+01 1.61000000E-08 3.98020460E+00 2.82000000E-03 4.38676000E+00 1.77000000E-02 2.14218600E+01 1.36000000E-03 8.85452300E+00 1.08000000E-03 1.32089600E+00 6.51009670E-04 9.93308510E-01 3.48000000E-06 6.25926100E-03 2.95000000E-04 1.30627004E-01 2.02000000E-02 3.08120001E+00 5.59000000E-06 8.24555167E-03 6.42480000E-12 2.86088583E-11 3.75000000E-17 1.28400000E-16 0.00000000E+00 2.49000000E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
100.000 0.000 9.99896563E+01 9.85196563E+01 0.00000000E+00 1.47000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.01000043E+00 3.74300000E-05 4.39000013E+01 1.69000000E-08 4.06023770E+00 2.76000000E-03 4.41619000E+00 1.63000000E-02 2.31206000E+01 1.19000000E-03 9.97417800E+00 9.85000000E-04 1.54055700E+00 5.34007290E-04 1.22039101E+00 3.57000000E-06 9.30887700E-03 4.17000000E-04 2.14905004E-01 3.49000000E-02 5.97770001E+00 1.31000000E-05 1.84467800E-02 3.20600000E-09 9.72479600E-09 3.53900000E-14 4.04335000E-12 0.00000000E+00 6.27000000E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
105.000 0.000 1.05008258E+02 1.03478258E+02 0.00000000E+00 1.53000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.85000023E+00 3.57100000E-05 4.27000013E+01 1.93000000E-08 3.86016480E+00 2.69000000E-03 4.40662000E+00 1.66000000E-02 2.45208500E+01 1.23000000E-03 1.08039180E+01 9.02000000E-04 1.72035600E+00 4.43005460E-04 1.40046788E+00 3.59000000E-06 1.17168660E-02 4.76000000E-04 2.77968004E-01 4.26000000E-02 9.76170001E+00 6.67000000E-04 9.88220000E-02 2.26100000E-06 2.29846100E-05 5.75000000E-10 9.28850000E-08 0.00000000E+00 2.18000000E-10 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
110.000 0.000 1.09882003E+02 1.08222003E+02 0.00000000E+00 1.66000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.74000016E+00 3.42600000E-05 4.11000013E+01 2.03000000E-08 3.90018960E+00 2.66000000E-03 4.31646000E+00 1.55000000E-02 2.52194500E+01 1.08000000E-03 1.14036820E+01 8.29000000E-04 1.85022200E+00 3.72004050E-04 1.54057150E+00 3.59000000E-06 1.38537800E-02 5.04000000E-04 3.28442003E-01 4.63000000E-02 1.44820000E+01 2.28000000E-03 2.57420000E-01 1.16100000E-05 1.35494100E-04 4.63000000E-09 7.69790000E-07 0.00000000E+00 2.54000000E-09 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
115.000 0.000 1.15023053E+02 1.13253053E+02 0.00000000E+00 1.77000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.73000016E+00 3.11900000E-05 3.98000012E+01 2.40000000E-08 3.84016890E+00 2.68000000E-03 4.50598000E+00 1.50000000E-02 2.57192300E+01 1.17000000E-03 1.18034890E+01 7.76000000E-04 1.94014800E+00 3.28003170E-04 1.63070978E+00 3.57000000E-06 1.55799100E-02 5.15000000E-04 3.65415002E-01 4.82000000E-02 1.93640000E+01 4.47000000E-03 4.64800000E-01 2.69000000E-05 3.28241200E-04 1.27000000E-08 2.12537000E-06 0.00000000E+00 7.86000000E-09 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
120.000 0.000 1.19967983E+02 1.17967983E+02 0.00000000E+00 2.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.71000015E+00 2.66900000E-05 3.81000012E+01 2.63000000E-08 3.88017610E+00 2.74000000E-03 4.55562000E+00 1.42000000E-02 2.57181700E+01 1.12000000E-03 1.20032880E+01 7.26000000E-04 1.99009780E+00 3.00002540E-04 1.69090998E+00 3.51000000E-06 1.72989200E-02 5.16000000E-04 3.93085002E-01 4.85000000E-02 2.50700000E+01 7.62000000E-03 7.62890000E-01 5.08000000E-05 6.38492000E-04 2.65000000E-08 4.44200000E-06 0.00000000E+00 1.74000000E-08 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
125.000 0.000 1.24931076E+02 1.22551076E+02 0.00000000E+00 2.38000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.61000014E+00 2.11300000E-05 3.59000012E+01 2.76000000E-08 3.92019120E+00 2.81000000E-03 4.42511000E+00 1.29000000E-02 2.51163700E+01 9.53000000E-04 1.18030483E+01 6.77000000E-04 1.99007170E+00 2.90002270E-04 1.71121426E+00 3.42000000E-06 1.89112800E-02 5.09000000E-04 4.11451002E-01 4.85000000E-02 3.23280000E+01 1.25000000E-02 1.23630000E+00 8.92000000E-05 1.14594300E-03 5.02000000E-08 8.48500000E-06 0.00000000E+00 3.37000000E-08 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
130.000 0.000 1.29937779E+02 1.27117779E+02 0.00000000E+00 2.82000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.49000009E+00 1.76500000E-05 3.34000011E+01 2.58000000E-08 3.73014420E+00 2.78000000E-03 4.38529000E+00 1.34000000E-02 2.42162500E+01 1.07000000E-03 1.14028078E+01 6.46000000E-04 1.93007250E+00 3.11002600E-04 1.67161598E+00 3.33000000E-06 2.04136300E-02 4.95000000E-04 4.14420001E-01 4.75000000E-02 4.04340000E+01 1.93000000E-02 1.93520000E+00 1.44300000E-04 1.88168200E-03 8.52000000E-08 1.46481000E-05 0.00000000E+00 5.75000000E-08 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
